2024-06-16 11:55:53.015052: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.093963: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.163179: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.239705: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.308896: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.379098: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.464799: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.550540: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.630068: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.699880: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.769090: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.840133: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
